startup_id,company_name,sector,city,state,founding_year,funding_stage,amount_raised_usd,num_employees,revenue_monthly_ngn,investor_type,gender_founder
NG-5085,Greenx,Agritech,Lagos,Lagos,2018,Growth,27298900,119,76289000,VC Fund,Female
NG-5086,Nodenow,SaaS,Abuja,FCT,2022,Pre-seed,69900,10,6011000,VC Fund,Male
NG-5087,Pagang,Fintech,Lagos,Lagos,2022,Seed,878700,5,448000,VC Fund,Mixed (Co-founders)
NG-5088,Dochub,Healthtech,Ibadan,Oyo,2019,Series A,6419800,119,16738000,Accelerator,Mixed (Co-founders)
NG-5089,Dashfy,Logistics,Lagos,Lagos,2018,Seed,1071700,25,7156000,Crowdfunding,Male
NG-5090,Ajox,Fintech,Lagos,Lagos,2021,Seed,616400,25,4930000,Angel,Female
NG-5091,Corego,SaaS,Lagos,Lagos,2018,Series B,11001600,287,33974000,VC Fund,Mixed (Co-founders)
NG-5092,Nairang,Fintech,Kano,Kano,2020,Pre-seed,146800,12,9372000,Angel,Male
NG-5093,Loadpro,Logistics,Lagos,Lagos,2016,Series B,11714300,75,10698000,Angel,Mixed (Co-founders)
NG-5094,Carex,Healthtech,Lagos,Lagos,2021,Pre-seed,87900,6,4801000,Angel,Female
NG-5095,Cowryng,Fintech,Lagos,Lagos,2023,Pre-seed,95700,10,3270000,VC Fund,Mixed (Co-founders)
NG-5096,Linkly,SaaS,Uyo,Akwa Ibom,2017,Pre-seed,116200,2,1237000,Crowdfunding,Male
NG-5097,Pipestack,SaaS,Lagos,Lagos,2015,Seed,777100,10,2275000,Angel,Male
NG-5098,Loadbox,Logistics,Lagos,Lagos,2022,Pre-seed,109100,10,6423000,Angel,Male
NG-5099,Healbase,Healthtech,Abuja,FCT,2022,Seed,895500,11,7747000,Government Grant,Male
NG-5100,Buzzng,Media & Entertainment,Lagos,Lagos,2023,Seed,325300,18,5330000,Angel,Female
NG-5101,Shoppath,E-commerce,Lagos,Lagos,2021,Series A,6289700,41,3602000,Government Grant,Male
NG-5102,Linkzone,SaaS,Abeokuta,Ogun,2024,Pre-seed,122100,10,0,Accelerator,Male
NG-5103,Kwiknow,Logistics,Lagos,Lagos,2023,Seed,1397000,8,4725000,Accelerator,Male
NG-5104,Vendpro,E-commerce,Abeokuta,Ogun,2017,Seed,1232200,29,16500000,VC Fund,Female
NG-5105,Stackhub,SaaS,Port Harcourt,Rivers,2018,Seed,569600,26,12929000,VC Fund,Male
NG-5106,Buygo,E-commerce,Uyo,Akwa Ibom,2020,Pre-seed,74700,7,2288000,Accelerator,Male
NG-5107,Loadfy,Logistics,Abuja,FCT,2018,Pre-seed,107700,8,2653000,Corporate,Mixed (Co-founders)
NG-5108,Scholarx,Edtech,Lagos,Lagos,2019,Series B,11394500,75,21284000,Crowdfunding,Male
NG-5109,Classzone,Edtech,Ibadan,Oyo,2017,Seed,877800,5,3012000,Angel,Mixed (Co-founders)
NG-5110,Jumianow,E-commerce,Lagos,Lagos,2018,Series A,6131400,24,11204000,Angel,Male
NG-5111,Fleethub,Logistics,Lagos,Lagos,2021,Seed,677500,5,1126000,VC Fund,Male
NG-5112,Gonow,Logistics,Lagos,Lagos,2022,Series A,7195400,100,21029000,Angel,Male
NG-5113,Syncio,SaaS,Lagos,Lagos,2021,Pre-seed,126800,4,3671000,Government Grant,Male
NG-5114,Medistack,Healthtech,Ibadan,Oyo,2023,Series A,1693500,71,58652000,VC Fund,Male
NG-5115,Sendzone,Logistics,Abuja,FCT,2023,Seed,1209500,22,4389000,Angel,Male
NG-5116,Jumiabase,E-commerce,Abuja,FCT,2022,Series A,7194100,93,36486000,Angel,Male
NG-5117,Payzone,Fintech,Abuja,FCT,2020,Pre-seed,116800,11,2034000,Accelerator,Female
NG-5118,Esusugo,Fintech,Abuja,FCT,2022,Seed,1196800,17,4329000,VC Fund,Mixed (Co-founders)
NG-5119,Linkup,SaaS,Lagos,Lagos,2017,Seed,199200,23,14564000,Government Grant,Male
NG-5120,Esusung,Fintech,Ibadan,Oyo,2021,Seed,1005100,13,10168000,VC Fund,Male
NG-5121,Tradeng,E-commerce,Lagos,Lagos,2021,Series A,6630700,79,34142000,VC Fund,Male
NG-5122,Kwikbase,Logistics,Enugu,Enugu,2021,Series A,7838800,83,15147000,Corporate,Male
NG-5123,Buybase,E-commerce,Port Harcourt,Rivers,2024,Series A,7217700,75,31286000,Corporate,Male
NG-5124,Reellabs,Media & Entertainment,Uyo,Akwa Ibom,2023,Seed,195300,32,9850000,Government Grant,Mixed (Co-founders)
NG-5125,Ajobase,Fintech,Lagos,Lagos,2024,Seed,1483400,8,4668000,VC Fund,Mixed (Co-founders)
NG-5126,Sendstack,Logistics,Lagos,Lagos,2017,Pre-seed,106900,4,962000,Accelerator,Female
NG-5127,Paybox,Fintech,Lagos,Lagos,2024,Series A,7829400,95,90266000,VC Fund,Female
NG-5128,Kudigo,Fintech,Lagos,Lagos,2021,Seed,1355200,20,5307000,VC Fund,Female
NG-5129,Kwikgo,Logistics,Lagos,Lagos,2015,Pre-seed,53000,7,1986000,VC Fund,Male
NG-5130,Cartai,E-commerce,Lagos,Lagos,2017,Seed,444600,14,6025000,Angel,Mixed (Co-founders)
NG-5131,Gostack,Logistics,Lagos,Lagos,2022,Growth,12965300,223,52236000,Government Grant,Mixed (Co-founders)
NG-5132,Studyup,Edtech,Port Harcourt,Rivers,2024,Seed,903300,14,8094000,Government Grant,Female
NG-5133,Pagax,Fintech,Abuja,FCT,2023,Pre-seed,92200,8,2428000,Accelerator,Male
NG-5134,Monowave,Fintech,Ilorin,Kwara,2024,Seed,721200,31,11520000,Corporate,Male
NG-5135,Nairafy,Fintech,Enugu,Enugu,2023,Seed,1414600,29,9972000,VC Fund,Female
NG-5136,Flowapp,SaaS,Lagos,Lagos,2019,Series A,7206900,46,22263000,Angel,Female
NG-5137,Harvestio,Agritech,Ibadan,Oyo,2021,Series A,3437700,26,6557000,Corporate,Male
NG-5138,Pipepath,SaaS,Port Harcourt,Rivers,2020,Series B,19894500,283,135085000,VC Fund,Female
NG-5139,Brainlabs,Edtech,Lagos,Lagos,2017,Seed,212900,31,12094000,Corporate,Female
NG-5140,Flicktech,Fintech,Abuja,FCT,2023,Pre-seed,41600,3,1673000,VC Fund,Male
NG-5141,Prepapp,Edtech,Benin City,Edo,2024,Series B,10816600,296,112313000,Angel,Male
NG-5142,Tutorapp,Edtech,Lagos,Lagos,2015,Pre-seed,39400,5,543000,Angel,Male
NG-5143,Flickng,Fintech,Lagos,Lagos,2021,Pre-seed,103000,7,4010000,VC Fund,Mixed (Co-founders)
NG-5144,Voltfy,Cleantech,Lagos,Lagos,2023,Pre-seed,106000,10,0,Angel,Mixed (Co-founders)
NG-5145,Pagatech,Fintech,Lagos,Lagos,2020,Pre-seed,49900,7,5277000,VC Fund,Male
NG-5146,Scholarstack,Edtech,Lagos,Lagos,2018,Series A,39020900,35,23256000,Angel,Male
NG-5147,Greenpro,Cleantech,Port Harcourt,Rivers,2018,Series A,1827800,108,54395000,Angel,Male
NG-5148,Dropng,Logistics,Abuja,FCT,2018,Series A,5723400,92,28478000,VC Fund,Female
NG-5149,Nairapath,Fintech,Kano,Kano,2024,Seed,226900,17,3392000,VC Fund,Male
NG-5150,Ecostack,Cleantech,Abeokuta,Ogun,2022,Seed,306100,7,3707000,VC Fund,Male
NG-5151,Sellgo,E-commerce,Abuja,FCT,2023,Series B,5540400,129,71313000,VC Fund,Male
NG-5152,Cashng,Fintech,Kano,Kano,2019,Series A,7178800,72,41853000,Government Grant,Male
NG-5153,Payup,Fintech,Lagos,Lagos,2017,Pre-seed,103400,8,3137000,Corporate,Male
NG-5154,Pipego,SaaS,Ibadan,Oyo,2021,Seed,194500,21,10388000,Government Grant,Male
NG-5155,Esusuapp,Fintech,Lagos,Lagos,2017,Series A,2608700,101,35018000,Crowdfunding,Male
NG-5156,Nairaapp,Fintech,Uyo,Akwa Ibom,2023,Series A,4025500,82,13748000,VC Fund,Male
NG-5157,Healtech,Healthtech,Lagos,Lagos,2022,Series A,5463800,63,7008000,VC Fund,Male
NG-5158,Greengo,Cleantech,Lagos,Lagos,2022,Pre-seed,77700,12,4904000,Angel,Male
NG-5159,Medify,Healthtech,Lagos,Lagos,2023,Pre-seed,74600,4,1065000,VC Fund,Male
NG-5160,Linkbox,SaaS,Port Harcourt,Rivers,2021,Series A,7439800,83,23834000,Corporate,Male
NG-5161,Esusulabs,Fintech,Lagos,Lagos,2018,Seed,1399800,35,11429000,VC Fund,Male
NG-5162,Sendfy,Logistics,Kano,Kano,2024,Series A,5336000,34,11036000,VC Fund,Male
NG-5163,Nairaup,Fintech,Port Harcourt,Rivers,2021,Seed,5136500,10,4654000,Angel,Female
NG-5164,Movewave,Logistics,Abuja,FCT,2024,Seed,191200,26,22003000,Accelerator,Male
NG-5165,Ajoly,Fintech,Lagos,Lagos,2023,Series B,11221700,238,79192000,Angel,Male
NG-5166,Tutorpro,Edtech,Lagos,Lagos,2017,Pre-seed,66700,4,0,VC Fund,Male
NG-5167,Streamapp,Media & Entertainment,Abuja,FCT,2023,Series B,6759100,280,36336000,VC Fund,Male
NG-5168,Fleetgo,Logistics,Abeokuta,Ogun,2016,Seed,1415500,8,4369000,Corporate,Male
NG-5169,Docio,Healthtech,Lagos,Lagos,2023,Series A,5461400,81,9731000,VC Fund,Mixed (Co-founders)
NG-5170,Viewpath,Media & Entertainment,Lagos,Lagos,2018,Series A,5168600,27,7687000,Angel,Male
NG-5171,Preptech,Edtech,Lagos,Lagos,2024,Pre-seed,57700,3,0,VC Fund,Male
NG-5172,Ajozone,Fintech,Lagos,Lagos,2019,Pre-seed,140600,4,0,VC Fund,Male
NG-5173,Basefy,SaaS,Abuja,FCT,2022,Pre-seed,100300,8,4599000,VC Fund,Mixed (Co-founders)
NG-5174,Viewapp,Media & Entertainment,Lagos,Lagos,2023,Seed,1162600,5,3153000,Angel,Mixed (Co-founders)
NG-5175,Synclabs,SaaS,Enugu,Enugu,2020,Series A,6997400,46,25865000,VC Fund,Male
NG-5176,Pagaapp,Fintech,Ibadan,Oyo,2019,Pre-seed,112000,2,0,Corporate,Male
NG-5177,Pharmnow,Healthtech,Lagos,Lagos,2023,Seed,1361900,24,6896000,Angel,Male
NG-5178,Dealpro,E-commerce,Abuja,FCT,2019,Series A,7869800,59,37717000,Corporate,Male
NG-5179,Linkwave,SaaS,Lagos,Lagos,2022,Seed,505100,22,3564000,Angel,Male
NG-5180,Flickzone,Fintech,Lagos,Lagos,2023,Seed,1154600,23,3561000,Crowdfunding,Male
NG-5181,Nodepath,SaaS,Abuja,FCT,2024,Pre-seed,135000,12,5920000,Angel,Female
NG-5182,Streamnow,Media & Entertainment,Ilorin,Kwara,2023,Series B,11232700,156,80003000,Corporate,Female
NG-5183,Basetech,SaaS,Lagos,Lagos,2019,Pre-seed,11300,8,1278000,VC Fund,Male
NG-5184,Sendnow,Logistics,Uyo,Akwa Ibom,2018,Growth,25774300,107,41287000,Corporate,Mixed (Co-founders)
NG-5185,Dealapp,E-commerce,Lagos,Lagos,2021,Pre-seed,86400,12,0,Angel,Mixed (Co-founders)
NG-5186,Shopbase,E-commerce,Lagos,Lagos,2016,Series A,6480600,89,39868000,VC Fund,Female
NG-5187,Cashfy,Fintech,Kano,Kano,2018,Series A,5510200,70,21277000,VC Fund,Female
NG-5188,Cashwave,Fintech,Uyo,Akwa Ibom,2019,Seed,1411300,19,3568000,VC Fund,Mixed (Co-founders)
NG-5189,Seedzone,Agritech,Uyo,Akwa Ibom,2018,Series A,1603000,117,53955000,Angel,Male
NG-5190,Hubtech,SaaS,Lagos,Lagos,2018,Seed,262700,20,2735000,Corporate,Mixed (Co-founders)
NG-5191,Payai,Fintech,Lagos,Lagos,2015,Pre-seed,141900,4,1897000,Corporate,Male
NG-5192,Tradeapp,E-commerce,Kano,Kano,2023,Pre-seed,49300,2,525000,Corporate,Male
NG-5193,Farmio,Agritech,Lagos,Lagos,2020,Seed,346100,17,6386000,VC Fund,Mixed (Co-founders)
NG-5194,Eduhub,Edtech,Lagos,Lagos,2024,Series B,15038400,178,67764000,Corporate,Male
NG-5195,Soundlabs,Media & Entertainment,Lagos,Lagos,2022,Series A,2480700,77,29689000,Crowdfunding,Male
NG-5196,Esusupro,Fintech,Port Harcourt,Rivers,2023,Series A,3166500,120,37023000,Angel,Male
NG-5197,Pagastack,Fintech,Lagos,Lagos,2017,Series A,6508200,99,85302000,Crowdfunding,Male
NG-5198,Dealgo,E-commerce,Lagos,Lagos,2015,Seed,608100,33,5902000,VC Fund,Male
NG-5199,Sellup,E-commerce,Lagos,Lagos,2023,Pre-seed,111600,2,1011000,VC Fund,Male
NG-5200,Sunlabs,Cleantech,Lagos,Lagos,2021,Seed,1305700,21,9101000,VC Fund,Male
NG-5201,Afyang,Healthtech,Lagos,Lagos,2022,Pre-seed,103500,9,3189000,VC Fund,Mixed (Co-founders)
NG-5202,Questlabs,Edtech,Port Harcourt,Rivers,2020,Pre-seed,55100,2,562000,VC Fund,Mixed (Co-founders)
NG-5203,Dawapro,Healthtech,Abuja,FCT,2020,Seed,872000,25,5510000,Government Grant,Mixed (Co-founders)
NG-5204,Learnlabs,Edtech,Abuja,FCT,2018,Seed,817400,20,14303000,Angel,Mixed (Co-founders)
NG-5205,Esusufy,Fintech,Abuja,FCT,2021,Seed,808800,33,14859000,Angel,Mixed (Co-founders)
NG-5206,Docpath,Healthtech,Kano,Kano,2021,Seed,556400,33,16035000,VC Fund,Male
NG-5207,Pipeng,SaaS,Lagos,Lagos,2018,Seed,279200,25,11094000,VC Fund,Male
NG-5208,Showhub,Media & Entertainment,Abuja,FCT,2022,Seed,310900,26,18875000,Government Grant,Male
NG-5209,Questpro,Edtech,Lagos,Lagos,2019,Seed,1039100,10,2480000,Angel,Male
NG-5210,Vitapath,Healthtech,Ibadan,Oyo,2022,Pre-seed,102800,8,1857000,Accelerator,Male
NG-5211,Loadzone,Logistics,Lagos,Lagos,2022,Seed,261400,26,2848000,Angel,Male
NG-5212,Buyai,E-commerce,Abuja,FCT,2021,Seed,948200,20,4675000,VC Fund,Male
NG-5213,Cloudng,SaaS,Abuja,FCT,2019,Pre-seed,136600,8,0,Corporate,Male
NG-5214,Stockai,E-commerce,Lagos,Lagos,2022,Series B,15811700,225,152434000,VC Fund,Female
NG-5215,Pharmhub,Healthtech,Lagos,Lagos,2022,Seed,244200,26,2344000,Corporate,Male
NG-5216,Droppro,Logistics,Enugu,Enugu,2016,Seed,371100,12,3487000,VC Fund,Male
NG-5217,Kudix,Fintech,Lagos,Lagos,2021,Series A,1250100,75,54848000,VC Fund,Female
NG-5218,Shipbox,Logistics,Benin City,Edo,2022,Pre-seed,58300,8,3608000,Angel,Mixed (Co-founders)
NG-5219,Flickgo,Fintech,Abuja,FCT,2020,Pre-seed,79400,5,3452000,VC Fund,Male
NG-5220,Seedpro,Agritech,Lagos,Lagos,2021,Series A,1868200,81,27595000,Accelerator,Male
NG-5221,Syncng,SaaS,Lagos,Lagos,2018,Growth,19065400,295,245799000,VC Fund,Male
NG-5222,Kudibox,Fintech,Lagos,Lagos,2017,Pre-seed,117700,9,4471000,VC Fund,Male
NG-5223,Harvestwave,Agritech,Kano,Kano,2020,Seed,922900,34,9446000,Accelerator,Male
NG-5224,Cartup,E-commerce,Abeokuta,Ogun,2021,Seed,306600,19,5309000,Angel,Male
NG-5225,Pulsebase,Healthtech,Enugu,Enugu,2021,Pre-seed,95900,4,0,Accelerator,Male
NG-5226,Movetech,Logistics,Ilorin,Kwara,2019,Pre-seed,29700,3,0,Government Grant,Female
NG-5227,Pharmapp,Healthtech,Kano,Kano,2024,Seed,604900,29,3882000,Angel,Male
NG-5228,Studyx,Edtech,Abuja,FCT,2024,Series A,4941200,99,30355000,Crowdfunding,Male
NG-5229,Coreng,SaaS,Abeokuta,Ogun,2023,Seed,639500,21,7949000,Corporate,Male
NG-5230,Carebase,Healthtech,Ibadan,Oyo,2019,Seed,661000,34,12674000,Corporate,Male
NG-5231,Cashtech,Fintech,Lagos,Lagos,2024,Seed,236300,31,7903000,Angel,Male
NG-5232,Cartio,E-commerce,Port Harcourt,Rivers,2022,Series A,5741400,60,19606000,Angel,Female
NG-5233,Healx,Healthtech,Lagos,Lagos,2021,Pre-seed,109500,4,423000,VC Fund,Male
NG-5234,Dealio,E-commerce,Lagos,Lagos,2018,Seed,1294800,28,13298000,Angel,Female
NG-5235,Cartzone,E-commerce,Uyo,Akwa Ibom,2022,Pre-seed,65300,6,0,Corporate,Male
NG-5236,Cowrypro,Fintech,Lagos,Lagos,2021,Pre-seed,27800,12,4179000,Angel,Female
NG-5237,Esusupath,Fintech,Abuja,FCT,2024,Pre-seed,17600,5,2516000,Corporate,Female
NG-5238,Edubase,Edtech,Lagos,Lagos,2022,Seed,116000,14,3683000,Crowdfunding,Female
NG-5239,Sellapp,E-commerce,Port Harcourt,Rivers,2019,Seed,1031700,30,11493000,VC Fund,Mixed (Co-founders)
NG-5240,Movehub,Logistics,Lagos,Lagos,2020,Seed,1420600,5,1516000,Accelerator,Female
NG-5241,Caretech,Healthtech,Lagos,Lagos,2022,Series A,1835500,115,78703000,Angel,Male
NG-5242,Docnow,Healthtech,Lagos,Lagos,2023,Growth,36052400,149,41121000,Government Grant,Male
NG-5243,Flickai,Fintech,Lagos,Lagos,2019,Pre-seed,32500,10,4608000,Angel,Mixed (Co-founders)
NG-5244,Fleetlabs,Logistics,Lagos,Lagos,2022,Series A,7580800,104,58058000,Angel,Male
NG-5245,Payfy,Fintech,Benin City,Edo,2023,Series B,14827400,157,49000000,Government Grant,Male
NG-5246,Dashnow,Logistics,Lagos,Lagos,2024,Seed,1478300,20,17125000,Angel,Mixed (Co-founders)
NG-5247,Renewx,Cleantech,Lagos,Lagos,2022,Pre-seed,117400,7,3539000,VC Fund,Mixed (Co-founders)
NG-5248,Dealhub,E-commerce,Abuja,FCT,2022,Series A,3053100,116,35568000,VC Fund,Mixed (Co-founders)
NG-5249,Studygo,Edtech,Lagos,Lagos,2022,Seed,987200,27,6975000,Crowdfunding,Mixed (Co-founders)
NG-5250,Farmbox,Agritech,Port Harcourt,Rivers,2019,Seed,751300,24,9193000,Accelerator,Male
NG-5251,Movex,Logistics,Uyo,Akwa Ibom,2021,Series A,6428500,108,14889000,Angel,Male
